SMILES,density
*C*,0.9362
*CC(*)C,0.9031
*CC(*)CC,0.9
*CC(*)CCC,0.9
*CC(*)C(C)C,0.906
*CC(*)CCCC,0.854
*CC(*)CC(C)C,0.832
*CC(*)CCCCC,0.8354
*CC(*)CCC(C)C,0.855
*CC(*)CCC(C)CC,0.9
*CC(*)CCCCCCC,0.8418
*CC(*)CCCCCCCC,0.857
*CC(*)(C)C,0.912
*CCC(*)(C)C,0.8718
*CC(*)C1CC1,0.9805
*CC(*)C1CCCC1,0.97
*CC(*)CC1CCCC1,0.924
*CC(*)C1CCCCC1,0.944
*CC(*)CC1CCCCC1,0.926
*CC(*)Cc1ccccc1,1.051
*CC(*)CCc1ccccc1,1.045
*CC1CCC(*)C1,1.111
*CC(*)CCCCCC,0.85
*CC(*)CCCCCCCCCCCCCCCC,0.8969
*CC(*)C(C)CC,0.922
*CC(*)C(CC)CC,0.89
*CC(*)CC(CC)CC,0.86
*CC(*)CC(C)CC,0.9
*CC(*)CC(C)(C)C,0.85
*/C=C/CCC*,0.89
*/C=C/CC*,0.89
*C(*)C,0.9195
*/C=C/*,1.16
*CCC(C)C(*)C,0.9
*CCC1CCCC1*,1.01
*/C=C/CCCCCCCCCC*,0.995
*/C=C/CCCCCC*,1
*CC(*)CCCCCCCCCCC,0.8532
*CC(*)CCCCCCCCC,0.8489
*CC(*)C1CCCC(C)C1,0.9237
*CC(*)C1CCC(C)CC1,0.9249
*CC(*)C1CC=CCC1,1.128
*C1CCC1*,1.0475
*/C=C/CCCCC*,1.0295
*/C=C/C1CCC(*)C1,1.3
*CC/C=C(/*)CCC,0.935
*CC(*)c1ccccc1,1.048
*CC(*)c1ccccc1C,1.032
*CC(*)c1ccccc1F,1.29
*CC(*)c1cccc(C)c1,1.0285
*CC(*)c1ccc(C)cc1,1.016
*CC(*)c1ccc(C(C)(C)C)cc1,0.9479
*CC(*)c1ccc(Cl)cc1,1.2175
*CC(*)c1ccc(Br)cc1,1.408
*CC(*)c1ccc(F)cc1,1.2
*CC(*)c1ccc(OC)cc1,1.0635
*CC(*)c1c(C)cc(C)cc1C,1.168
*CC(*)c1cc(C)c(C)cc1C,0.996
*CC(*)(C)c1ccccc1,1.065
*CC(*)c1cccc2ccccc12,1.12
*CC(*)c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1,0.9748
*CC(*)c1ccc2ccccc2c1,1.108
*CC(*)c1ccncc1,1.1884
*CC(*)c1ccc(C)nc1,1.103
*CC(*)n1cc2ccccc2n1,1.23
*CC(*)c1ccc(O)cc1,1.18
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],1.116
*CC(*)O,1.3
*CC(*)OC(=O)CCCCCCCCCCC,0.897
*CC(*)OC(=O)CCCCCCCCCCCCCCC,0.891
*CC(*)C(C)=O,1.195
*CC(*)(C)C(C)=O,1.15
*CC(*)C#N,1.18
*CC(*)(C)C#N,1.13895
*CC(*)c1ccccn1,1.151
*CC(*)n1c2ccccc2c2ccccc21,1.18915
*CC(*)C[Si](C)(C)C,0.876
*CC(*)OC,1.05
*CC(*)OCC,0.968
*CC(*)OCCCC,0.9285
*CC(*)OCCCCC,0.918
*CC(*)OCCCCCC,0.9135
*CC(*)OCCCCCCCCCC,0.8815
*CC(*)OC(C)=O,1.185
*CC(*)OC(=O)CC,1.048
*CC(*)OC(=O)c1ccccc1,1.214
*CC(*)OCC(C)C,0.93
*CC(*)CCCN(C(C)C)C(C)C,0.889
*CC(*)CCCN(CC(C)C)CC(C)C,0.867
*CC(*)O[N+](=O)[O-],1.586
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,1.4965
*CC(*)CC[Si](C)(C)C,0.898
*CC(*)OC=O,1.42
*CC(*)OC(C)(C)C,0.971
*CC(*)OC(C)C,0.93
*CC(*)(C)OC,1.0355
*CC(*)OCC(C)(C)C,0.91
*CC(*)OC(C)CC,0.9395
*CC(*)OC(=O)C(F)(F)F,1.55
*CC(*)OCCCCCCCCCCCC,0.892
*C1CC(*)(C#N)C1,1.1
*CC(*)Cc1cccc(C)c1,1.039
*CC(*)Cc1ccccc1C,1.031
*CC(*)Cc1ccc(C)cc1,1.035
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,1.112
*CC/C=C(/*)c1ccccc1,1.063
*CC(*)OCC(CC)CCCC,0.9005
*CC(*)SCCCC,0.984
*CC(*)SC,1.184
*CC(*)OCCCCCCCC,0.9035
*CC(*)OCCC,0.94
*CC(*)OC(=O)CCCC(=O)c1ccccc1,0.851
*CC(*)OC(=O)C1CCCCC1,1.119
*CC(*)OC(=O)c1ccc(CC)cc1,1.145
*CC(*)OC(=O)c1ccncc1,1.288
*CC(*)OC(=O)c1ccc(C(C)C)cc1,1.198
*CC(*)OC(=O)c1ccc(C)cc1,1.163
*CC(*)OC(=O)c1cccnc1,1.296
*CC(*)OC(=O)CCCCCCC,0.939
*CC(*)OC(=O)CCl,1.46
*CC(*)[SiH2]CC,0.98
*CC(*)OC(=O)CCCCCCCCC,0.916
*CC(*)OC(=O)CCCCC,0.975
*C1Cc2ccccc2C1*,0.63
*CCC/C=C(/*)c1ccc(OC)cc1,1.083
*CCC/C=C(/*)c1ccccc1,1.04
*CCC/C=C(/*)c1ccc(Cl)cc1,1.173
*/C(C)=C(/*)[Si](C)(C)C,0.77
*CC(*)n1ccnc1,1.07
*CC(*)N1CCCC1=O,1.2
*CC(*)C(=O)O,1.42
*CC(*)C(=O)OC,1.214
*CC(*)C(=O)OCC,1.133
*CC(*)C(=O)OC(C)C,1.13
*CC(*)C(=O)OCCCC,1.074
*CC(*)C(=O)OCC(C)C,1.05
*CC(*)C(=O)OC(C)CC,1.413
*CC(*)C(=O)OC(C)(C)C,1.18
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,0.9754
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,0.9752
*CC(*)(C)C(=O)OC,1.19
*CC(*)(C)C(=O)OCC,1.11
*CC(*)(C)C(=O)OCCC,1.088
*CC(*)(C)C(=O)OC(C)C,1.0315
*CC(*)(C)C(=O)OCCCC,1.0562
*CC(*)(C)C(=O)OC(C)CC,1.052
*CC(*)(C)C(=O)OCC(C)C,1.04885
*CC(*)(C)C(=O)OC(C)(C)C,1.0215
*CC(*)(C)C(=O)OCCCCCC,1.028
*CC(*)(C)C(=O)OCCCCCCCC,0.998
*CC(*)(C)C(=O)OCCCCCCCCCCCC,0.984
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,0.9686
*CC(*)(C)C(=O)OC1CCCCC1,1.1075
*CC(*)(C)C(=O)Oc1ccccc1,1.24
*CC(*)(C)C(=O)OCc1ccccc1,1.1875
*CC(*)(C)C(=O)OCCCl,1.32
*CC(*)(C)C(=O)OCC(F)(F)F,1.4531
*CC(*)(C)C(=O)OCC(F)(F)C(F)F,1.496
*CC(*)(C)C(=O)OC(C)C(F)(F)F,1.34
*CC(*)(C)C(=O)OCc1ccccc1Cl,1.23
*CC(*)(C)C(=O)OCCO,1.285
*CC(*)(C)C(=O)OCCOCC,1.169
*CC(*)(Cl)C(=O)OC,1.49
*CC(*)(Cl)C(=O)OCC,1.39
*CC(*)(Cl)C(=O)OC(C)CC,1.24
*CC(*)(Cl)C(=O)OC1CCCCC1,1.25
*CC(*)C(N)=O,1.21
*CC(*)C(=O)NC(C)C,1.159
*CC(*)C(=O)N(CCCC)CCCC,1.02
*CC(*)C(=O)OC1CCCCC1,1.104
*CC(*)(C)C(=O)OCCCCCCCCCC,0.9696
*CC(*)(Cl)C(=O)OCCC,1.3
*CC(*)(Cl)C(=O)OCCCC,1.24
*CC(*)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,1.043
*CC(*)C(=O)N1CCCCC1,0.99
*CC(*)C(=O)N1CCOCC1,1.238
*CC(*)C(=O)Oc1ccc(-c2ccccc2)cc1,1.236
*CC(*)(C)C(=O)OCCCCC,1.042
*CC(*)(C)C(=O)OCCC(C)(C)C,1
*CC(*)(C)C(=O)OC(C)C(C)(C)C,0.99
*CC(*)(C)C(=O)OCCOC,1.19
*CC(*)(C)C(=O)OCCOCCO,1.26
*CC(*)(C)C(=O)OCC(C)O,1.215
*CC(*)(C)C(=O)OCCC#N,1.24
*CC(*)(C)C(=O)OCC[N+](=O)[O-],1.354
*CC(*)(C)C(=O)OCCO[N+](=O)[O-],1.418
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,1.6382
*CC(*)(C)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,1.052
*CC(*)(CC(=O)OCC)C(=O)OCC,1.23
*CC(*)(CC(=O)OCCCC)C(=O)OCCCC,1.1
*CC(*)(Cl)C(=O)OC(C)C,1.27
*CC(*)(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1,1.157
*CC(*)(CC(=O)OCC1CCCCC1)C(=O)OCC1CCCCC1,1.126
*CC(*)(CC(=O)OCCC1CCCCC1)C(=O)OCCC1CCCCC1,1.1
*CC(*)(CC(=O)OCCCC1CCCCC1)C(=O)OCCCC1CCCCC1,1.075
*CC(*)(CC(=O)Oc1ccccc1)C(=O)Oc1ccccc1,1.24
*CC(*)(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,1.21
*CC(*)(CC(=O)OCCc1ccccc1)C(=O)OCCc1ccccc1,1.186
*CC(*)(CC(=O)OCCCc1ccccc1)C(=O)OCCCc1ccccc1,1.155
*CC(*)C(=O)OCCC(C)OC,1.1587
*CC(*)(CC(=O)OC)C(=O)OC,1.26
*C(*)C(=O)OCC,1.221
*C(*)C(=O)OC,1.295
*C(*)C(=O)OCCC,1.161
*CC(*)(CC(=O)OCCC)C(=O)OCCC,1.18
*CC(*)(CC(=O)Oc1ccccc1C)C(=O)Oc1ccccc1C,1.135
*CC(*)(CC(=O)Oc1cccc(C)c1)C(=O)Oc1cccc(C)c1,1.11
*CC(*)(CC(=O)Oc1ccc(C)cc1)C(=O)Oc1ccc(C)cc1,1.07
*CC(*)C(=O)OCCO,1.2785
*CC(*)(C)C(=O)OCCOCCOCCO,1.24
*CC(*)C(=O)O[Na],1.48
*CC(*)(C)C(=O)OCC#C,1.17
*CC(*)C(=O)OC1CCCCCCCCCCC1,1.05
*CC(*)F,1.38
*CC(*)Cl,1.394
*CC(*)(F)F,1.7704
*CC(*)(Cl)Cl,1.8715
*C(F)C(*)(F)F,2.04
*C(*)(F)F,2.171
*C(F)(F)C(*)(F)Cl,2.12
*CC/C=C(/*)Cl,1.2585
*C(F)(F)C(*)(F)C(F)(F)F,2.005
*CC(*)Br,2.17
*C(=C(F)F)C(*)(F)F,1.99
*CCC(F)(F)C(*)(F)Cl,1.67
*CCC(F)(F)C(*)(F)F,1.7585
*CC(*)(Br)Br,3.0275
*CC(F)(F)CC(*)(C(F)(F)F)C(F)(F)F,1.88
*CCCCCCCCC(Cl)C(*)Cl,1.14
*CCCCCCCCCCC(Cl)C(*)Cl,1.1
*CCCC(Cl)C(*)Cl,1.4
*CCC(Cl)C(*)Cl,1.46
*CC/C=C(/*)C,1.12
*/C=C/C(C)C*,1.015
*/C=C/C(C*)CC,0.985
*CC(*)=C,1.07
*CC(*)C=C,0.901
*CC(*)C=C(C)C,0.88
*CC/C=C(/*)C(C)(C)C,0.893
*CC/C(C)=C(/*)C,0.905
*/C=C/C(C(=O)OC(C)C)C(*)C(=O)OC(C)C,1.06
*CC(C)/C=C(/*)C,0.88
*CO*,1.425
*OC(*)C,1.1055
*OC(*)C(Cl)(Cl)Cl,2.012
*OC(*)CC,1.05
*OC(*)CCC,1
*OC(*)CCC#N,1.22
*CCO*,1.203
*CC(C)O*,1.0031
*CC(CCl)O*,1.367
*CC(O*)C(F)(F)F,1.64
*CC(CC)O*,0.968
*CC(COC)O*,1.095
*CC(C)(C)O*,1.0865
*CC(CCCC)O*,0.9475
*CC(O*)C(C)(C)C,0.995
*CC(COCC)O*,1.025
*CC(COCC=C)O*,1.048
*CC(COCCCC)O*,0.982
*CC(CCCCCC)O*,0.959
*CC(COCCCCCC)O*,0.966
*CC(O*)c1ccccc1,1.151
*CC(COc1ccccc1)O*,1.272
*CC(COc1ccccc1Cl)O*,1.384
*OC(C)C(*)C,1.055
*CCCO*,1.14
*CC(C)(C)CO*,0.985
*CC(CO)(CO)CO*,1.28
*CC(CO*)(COCC)COCC,1.165
*CC(CCl)(CCl)CO*,1.41
*CCCCO*,1.02
*CCCCCCO*,1.06
*CCCCCCCCO*,1.03
*CCCCCCCCCO*,1.025
*CCCCCCCCCCO*,1.03
*CCCCCCCCCCCCO*,1.025
*Oc1ccc(*)cc1,1.4165
*Oc1c(C)cc(*)cc1C,1.061
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,1.1915
*OC1C(C)(C)C(*)C1(C)C,1.06
*CCOCO*,1.41
*CCCCOCO*,1.185
*CCCCCOCO*,1.14
*CCCCCCOCO*,1.08
*CCOCCOC(=O)CCCCCCCCC(=O)O*,1.128
*C(=O)OCCOC(=O)c1ccc(*)o1,1.433
*CCOCCOC(=O)c1cccc(C(=O)O*)c1,1.3165
*CCOC(=O)c1ccc(O*)cc1,1.39
*CCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,1.3631
*CCCCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,1.2973
*CCCCC(=O)NCc1ccc(CNC(=O)CCCCO*)cc1,1.178
*Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(*)cc3)c2)cc1,1.26
*Oc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(*)cc3)cc2)cc1,1.37
*CCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,1.2835
*CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,1.233
*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,1.3658
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,1.24
*OC(*)CCCCCC,0.995
*CCOCCOC(=O)CCCCC(=O)O*,1.1918
*CCOC(=O)c1ccc(C(C)(CC)c2ccc(C(=O)O*)cc2)cc1,1.2
*c1ccc(C(=O)Nc2ccc(Oc3ccc(NC(=O)c4ccc(C5(*)OC(=O)c6ccccc65)cc4)cc3)cc2)cc1,1.287
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(Cc4ccc(*)cc4)cc3)cc2)cc1,1.282
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,1.2
*CC(O)COc1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,1.38
*OC(F)(F)C(F)(F)C(F)(F)C(*)(F)F,1.775
*CC(CCCCCCCCCC)O*,0.862
*CC1CC(*)OC(CCC)O1,1.1
*OC1CCCCC1*,1.067
*CCCCCCCCc1nnc(*)o1,1.21
*CCCCCCCCCc1nnc(*)o1,1.28
*CCCCCCCCCCc1nnc(*)o1,1.22
*c1ccc(Oc2ccc(-c3nnc(*)o3)cc2)cc1,1.3075
*c1ccc(C2(c3ccc(-c4nnc(*)o4)cc3)OC(=O)c3ccccc32)cc1,1.3195
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,1.2967
*Oc1cccc(S(=O)(=O)c2ccc(*)cc2)c1,1.3858
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(c4ccc(*)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc2)cc1,1.43
*Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C)cc(C(C)(C)c4cc(C)c(*)c(C)c4)cc3C)cc2)cc1,1.1655
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(c4ccccc4)c4ccc(*)cc4)cc3)cc2)cc1,1.239
*Oc1ccc(S(=O)(=O)c2ccc(-c3ccc(S(=O)(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,1.26
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(*)cc4)cc3)cc2)cc1,1.238
*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(*)cc3)cc2)cc1,1.329
*Oc1ccc(Oc2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)cc2)cc1,1.33
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)cc1,1.317
*CC(CC)(CC)CO*,1.04
*CC(O*)C(C)C,1.025
*CCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.3
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,1.66
*CCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.32
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,1.5
*c1ccc(Oc2ccc(-c3cc(-c4ccccc4)c4cc(Oc5ccc6nc(*)cc(-c7ccccc7)c6c5)ccc4n3)cc2)cc1,1.174
*ON(C(F)(F)F)C(F)(F)C(*)(F)F,1.938
*CC(C)(CC)CO*,0.966
*CC(C)(CO)CO*,1.144
*c1ccc2oc(*)nc2c1,1.638
*Oc1ccc(C(=O)c2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,1.395
*Oc1ccc(-c2ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,1.374
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,1.32
*/C=C/c1sc(*)c(OCCCC)c1OCCCC,1.36
*Oc1ccc(C(c2ccc(Oc3ccc(C(=O)c4ccccc4-c4ccccc4C(=O)c4ccc(*)cc4)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.307
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C(C)(C)C,1.1365
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C,1.267
*c1c(C)cc(Cc2cc(C)c(N3C(=O)c4ccc(Oc5cccc6c(Oc7ccc8c(c7)C(=O)N(*)C8=O)cccc56)cc4C3=O)c(C)c2)cc1C,1.225
*c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)c4)cc3)cc2)c1,1.47
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(*)cc5)c5ccccc5-c5ccccc54)cc3)cc2)cc1,1.245
*Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(Oc4ccc(C(c5ccc(*)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)c2)cc1,1.63
*Oc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(Oc4ccc(C(c5ccc(*)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)cc(C(C)(C)C)c2)cc1,1.55
*CC(C[N-][N+]#N)O*,1.29
*CS*,1.5765
*CCS*,1.41
*CCSSSS*,1.46405
*CC(C)S*,1.2
*CC(S*)C(C)(C)C,1.09
*CC(CC)S*,1.093
*CC(COCC=C)S*,1.123
*CCCS*,1.16
*CC(C)(C)CS*,1.098
*CCCCS*,1.2
*CCCCCS*,1.1725
*CCCCCCS*,1.0795
*Sc1ccc(*)cc1,1.35
*CCCCC(=O)NCc1ccc(CNC(=O)CCCCS*)cc1,1.2005
*CCCCCC(=O)NCc1ccc(CNC(=O)CCCCCS*)cc1,1.175
*CCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCS*)cc1,1.157
*CCCCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCCCS*)cc1,1.127
*CCCCCCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCCCCCS*)cc1,1.094
*CCCCC(=O)NCCc1ccc(CCNC(=O)CCCCS*)cc1,1.174
*CCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCS*)cc1,1.148
*CCCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCCS*)cc1,1.132
*CCCCCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCCCCS*)cc1,1.106
*CCCCCCCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCCCCCCS*)cc1,1.067
*Oc1ccc(Sc2ccc(OC(*)=O)cc2)cc1,1.4275
*c1ccc2nc(*)sc2c1,1.628
*c1ccc(-c2nc3cc4sc(*)nc4cc3s2)cc1,1.71
*CCOC(=O)C(=O)O*,1.59
*CCOC(=O)CCC(=O)O*,1.384
*CCCCOC(=O)CCC(=O)O*,1.2969
*CCCOC(=O)CCCC(=O)O*,1.301
*CCOC(=O)CCCCC(=O)O*,1.25
*CCCOC(=O)CCCCC(=O)O*,1.271
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,1.087
*CCOC(=O)CCCCCCC(=O)O*,1.237
*CCOC(=O)CCCCCCCC(=O)O*,1.172
*CCCCCCCCCOC(=O)CCCCCCCC(=O)O*,0.9524
*CCCCCCCCCCOC(=O)CCCCCCCC(=O)O*,0.9381
*CCOC(=O)CCCCCCCCC(=O)O*,1.169
*CCCOC(=O)CCCCCCCCC(=O)O*,1.31
*CCCCCCOC(=O)CCCCCCCCC(=O)O*,1.1115
*CCCCCCCCCCOC(=O)CCCCCCCCC(=O)O*,1.056
*CCOC(=O)c1ccc(C(=O)O*)cc1,1.38
*CCOC(=O)c1cccc(C(=O)O*)c1,1.3596
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,1.2938
*CCCCOC(=O)c1cccc(C(=O)O*)c1,1.309
*CCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.2995
*CCCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.262
*CCCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.046
*CC1CCC(COC(=O)c2ccc(C(=O)O*)cc2)CC1,1.23
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,1.24
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,1.236
*CCOC(=O)c1ccc2ccc(C(=O)O*)cc2c1,1.35
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,1.35
*CCCCOC(=O)CCCCC(=O)O*,1.13
*OC1CCC(OC(=O)CCCCC(*)=O)CC1,1.218
*CCOC(=O)c1ccccc1C(=O)O*,1.37925
*Oc1cccc(OC(=O)c2cccc(C(*)=O)c2)c1,1.34
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)c(C)c2)cc1C,1.167
*Oc1ccc(C2(c3ccc(OC(=O)c4cccc(C(*)=O)c4)cc3)c3ccccc3-c3ccccc32)cc1,1.211
*c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C4(*)OC(=O)c5ccccc54)cc3)cc2)cc1,1.315
*CCOC(=O)c1cccc2c(C(=O)O*)cccc12,1.38
*CCOC(=O)c1ccc(C(=O)O*)c2ccccc12,1.36
*CC(=O)O*,1.563
*CCCCCC(=O)O*,1.135
*CCCCCCC(=O)O*,1.076
*CCCCCCCCCC(=O)O*,1.06775
*CCCCCOC(=O)CCCCCC(=O)O*,1.151
*CCCCCCOC(=O)CCCCC(=O)O*,1.222
*CCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC(=O)O*,1.047
*OC(C)CCC(C)OC(=O)CCCCC(*)=O,1.076
*CCOC(=O)/C=C/C(=O)O*,1.353
*CCCOC(=O)c1ccc(C(=O)O*)cc1,1.3327
