SMILES,o2
[H]C([H])(C1=CC=C(*)C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(O*)C=C2)C=C1,1.1
[H]C([H])(C1=CC=C(O*)C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.1
[H]C(*)=C(*)C(C)(C)C,130
[H]C1=CC(=CC([H])=C1O*)C(C1=CC([H])=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C([H])=C1)(C(F)(F)F)C(F)(F)F,5.23
[H]C1=CC(=CC([H])=C1O*)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC([H])=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C([H])=C1,3.03
[H]C1=CC(=CC([H])=C1O*)C1(OC(=O)C2=C1C=CC=C2)C1=CC([H])=C(OC(=O)C2=CC(=CC(=C2)C(*)=O)C(C)(C)C)C([H])=C1,5.6
[H]C1=CC(=CC([H])=C1O*)C1(OC(=O)C2C=CC=CC12)C1=CC([H])=C(OC(=O)C2=CC(=CC(=C2)C(*)=O)C(C)(C)C)C([H])=C1,5.6
[H]C1=CC(=CC(=C1)C(=O)OC1=C([H])C=C(C=C1[H])C1(C2C=CC=CC2C2C=CC=CC12)C1=CC([H])=C(O*)C([H])=C1)C(*)=O,3.03
[H]C1=CC(=CC(=C1)C(=O)OC1=C([H])C=C(C=C1[H])C1(OC(=O)C2=C1C=CC=C2)C1=CC([H])=C(O*)C([H])=C1)C(*)=O,1.52
[H]C1=CC(=CC(=C1)C(=O)OC1=C([H])C=C(C=C1[H])C1(OC(=O)C2C=CC=CC12)C1=CC([H])=C(O*)C([H])=C1)C(*)=O,1.53
[H]C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C(C1=CC(Br)=C(O*)C(Br)=C1)(C(F)(F)F)C(F)(F)F)C(*)=O,6.75
[H]C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC(Br)=C(O*)C(Br)=C1)C(*)=O,4.84
[H]C1=CC(=CC(=C1)C(=O)OC1=C(Br)C=C(C=C1Br)C1(OC(=O)C2C=CC=CC12)C1=CC(Br)=C(O*)C(Br)=C1)C(*)=O,1.96
[H]C1=CC(=CC(=C1)C(=O)OC1=C(C)C=C(C=C1[H])C(C)(C)C1=CC([H])=C(O*)C(C)=C1)C(*)=O,0.4
[H]C1=CC(=CC(=C1)C(=O)OC1=C(C)C=C(C=C1Br)C(C)(C)C1=CC(Br)=C(O*)C(C)=C1)C(*)=O,1.52
[H]C1=CC(=CC(=C1)C(=O)OC1=C(C)C=C(C=C1C)C(C)(C)C1=CC(C)=C(O*)C(C)=C1)C(*)=O,3.26
[H]C1=CC(=CC(=C1)C(=O)OC1=C(C=C(C=C1[H])C(C)(C)C1=CC([H])=C(O*)C(=C1)C(C)C)C(C)C)C(*)=O,1.64
[H]C1=CC(=CC(C(C)C)=C1OC(=O)C1=CC(=CC(=C1)C(*)=O)C(C)(C)C)C(C)(C)C1=CC([H])=C(O*)C(=C1)C(C)C,5.03
[H]C1=CC(=CC(C)=C1O*)C(C)(C)C1=CC(C)=C(OC(=O)C2=CC(=CC=C2)C(=O)O*)C([H])=C1,0.46
[H]C1=CC(=CC(C)=C1O*)C(C)(C)C1=CC(C)=C(OC(=O)C2=CC=C(C=C2)C(=O)O*)C([H])=C1,1.12
[H]C1=CC(=CC(C)=C1OC(=O)C1=CC(=CC(=C1)C(*)=O)C(C)(C)C)C(C)(C)C1=CC([H])=C(O*)C(C)=C1,2.37
[H]C1=CC(=CC=C1OC(=O)C1=CC=C(C=C1)C(=O)O*)C1(OC(=O)C2=C1C=CC=C2)C1=CC([H])=C(O*)C=C1,2.15
[H]C1=CC=C(C=C1)C(*)=C(*)C1=CC=C(C=C1)[Si](C)(C)CCCCCCCC,34
[H]C1=CC=C(C=C1)N(C1=CC=C(*)C=C1)C1=CC=C(C=C1)N1C(=O)C2=C(C=C(C=C2)C(C2=CC=C3C(=O)N(*)C(=O)C3=C2)(C(F)(F)F)C(F)(F)F)C1=O,0.69
[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC(F)=C(F)C=C1,6600
[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC(F)=CC(F)=C1,2700
[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC(F)=CC=C1,5900
[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC=C(Br)C=C1,5000
[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC=C(C=C1)[Si](C)(C)C,470
[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC=C(C=C1)C(C)(C)C,3500
[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC=C(F)C=C1,6200
[H]C1=CC2=C(C=C1)C1=CC=C(C=C1C2(C)C)C(*)=C(*)C1=CC=CC=C1,4800
[H]C1CC(*)CC1\C=C\*,2.8
[H]N1C2C=CC(*)=CC2C2=C1C=CC(=C2)N1C(=O)C2=CC=C(C=C2C1=O)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C(F)(F)F)C(F)(F)F,4.49
*C(=C(*)C1=CC=C(C=C1)[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1,12.1
*C(=C(*)C1=CC=C(C=C1)C1=CC=CC=C1)C1=CC=CC=C1,180
*C(=C(*)C1=CC=C2CCCC2=C1)C1=CC=CC=C1,86
*C(=C(*)C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2)C1=CC=CC=C1,1300
*C(=C(*)C1=CC2=C(C=C1)C1=C(C2)C=CC=C1)C1=CC=CC=C1,2150
*C(=O)C1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(C=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(C=C2)C(=O)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,0.51
*C(=O)C1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(C=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,0.68
*C(=O)C1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(C=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=CC(=C2)C(=O)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,0.27
*C(=O)N1C(*)=NC2=C1C=C1N3C(=NC1=C2)C1=CC=C(*)C2=C1C(=CC=C2*)C3=O,0.021
*C1=CC(C(=O)C2=CC=CC=C2)=C(*)C=C1,2.99
*C1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(*)C=C1,11
*C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=C(C=C(C=C3)C3=NC4=C(C=C(CC5=CC=C6N=C(*)OC(=O)C6=C5)C=C4)C(=O)O3)C2=O)C=C1,0.082
*C1=CC2=C(C=C1)C1=NC3=C(C=C(OC4=CC5=C(C=C4)N4C(=O)C6=C(C=C(*)C=C6)C4=N5)C=C3)N1C2=O,0.24
*C1=CC2C(C=C1)C(=O)N(C2=O)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=CC=C(*)C=C3C2=O)C=C1,0.72
*C1=NC2=C(N1)C=CC(=C2)C1=CC2=C(NC(=N2)C2=CC=C(*)C=C2)C=C1,0.004
*C1=NC2=C(N1)C=CC(=C2)C1=CC2=C(NC(=N2)C2=CC=CC(*)=N2)C=C1,0.045
*C1=NN=C(N1C1=CC=CC=C1)C1=CC(*)=CC=C1,0.52
*C1=NN=C(N1C1=CC=CC=C1)C1=CC=CC(=C1)C1=NN=C(N1C1=CC=CC=C1)C1=CC=C(*)C=C1,1.16
*C1C(*)C2=NC3=C(C=CC(OC4=CC5=C(C=C4)N=C4N5C(=O)C5=C4C=CC(*)=C5)=C3)N2C1=O,0.14
*CC(*)C#N,2.8e-4
*CC(*)C1=CC=NC=C1,0.84
*CC(*)OC(=C)C1CCCCC1,2.2
*CC(*)OC1C2CC3CC(C2)CC1C3,6.01
*CC(*)OC1CC2CC1C1CCCC21,3.06
*CC(*)OC1CC2CCC1C2,3.55
*CC(*)OC1CCCCC1,3.69
*CC(*)OCC1=CC=CC=C1,2.33
*CC(*)OCC1CC2CC1C1CCCC21,0.81
*CC(*)OCC1CCCCC1,1.55
*CC1=CC=C(C*)C(=C1)C#N,0.0904
*CC1CC(*)OCO1,0.024
*CCCC*,11.3
*CCCC=C*,310
*CCSS*,0.288
*CO*,0.09
*N1C(=O)C2=C(C=C(C(OC3=CC=CC=C3)=C2)C2=C(OC3=CC=CC=C3)C=C3C(=O)N(C(=O)C3=C2)C2=CC=C(CC3=CC=C(*)C=C3)C=C2)C1=O,3.36
*N1C(=O)C2=C(C=C(C(OC3=CC=CC=C3)=C2)C2=C(OC3=CC=CC=C3)C=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C1=O,3.59
*N1C(=O)C2=C(C=C(C=C2)C(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC(*)=CC=C2)C1=O,0.112
*N1C(=O)C2=C(C=C(C=C2)C(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(CC3=CC=C(*)C=C3)C=C2)C1=O,0.211
*N1C(=O)C2=C(C=C(C=C2)C(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C1=O,0.17
*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C1=O,0.348
*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(C=C3)S(=O)(=O)C3=CC=C(OC4=CC=C(*)C=C4)C=C3)C=C2)C1=O,0.368
*N1C(=O)C2=C(C=C(C=C2)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(OC4=CC=C(OC5=CC=C(*)C=C5)C=C4)C=C3)C=C2)C1=O,0.256
*N1C(=O)C2=C(C=C(C=C2)S(=O)(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(CC3=CC=C(*)C=C3)C=C2)C1=O,0.296
*N1C(=O)C2=C(C=C(C=C2)S(=O)(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C1=O,0.2
*N1C(=O)C2=C(C=C(OC3=CC=C(OC4=CC=C5C(=O)N(C(=O)C5=C4)C4=CC=C(CC5=CC=C(*)C=C5)C=C4)C=C3)C=C2)C1=O,0.242
*N1C(=O)C2=C(C=C(OC3=CC=C(OC4=CC=C5C(=O)N(C(=O)C5=C4)C4=CC=C(OC5=CC=C(*)C=C5)C=C4)C=C3)C=C2)C1=O,0.216
*N1C(=O)C2=C(C=C(OC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC(*)=CC=C3)C=C2)C1=O,0.081
*N1C(=O)C2=C(C=C(OC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC=C(CC4=CC=C(*)C=C4)C=C3)C=C2)C1=O,0.261
*N1C(=O)C2=C(C=C(OC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC=C(OC4=CC=C(*)C=C4)C=C3)C=C2)C1=O,0.183
*N1C(=O)C2=C(C=C(SC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC=C(CC4=CC=C(*)C=C4)C=C3)C=C2)C1=O,0.246
*N1C(=O)C2=C(C=C(SC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC=C(OC4=CC=C(*)C=C4)C=C3)C=C2)C1=O,0.198
*N1C(=O)C2=C(C=C3C(=C2)S(=O)(=O)C2=C(C=C4C(=O)N(C(=O)C4=C2)C2=CC=C(OC4=CC=C(*)C=C4)C=C2)S3(=O)=O)C1=O,1.6
*N1C(=O)C2=C(C=C3C(=O)N(C(=O)C3=C2)C2=CC=CC(OC3=CC(*)=CC=C3)=C2)C1=O,0.13
*N1C(=O)C2=C(C=C3SC4=C(SC3=C2)C=C2C(=O)N(C(=O)C2=C4)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C1=O,0.74
*N1C(=O)C2=CC=C(OC3=CC=C(OC4=CC5=C(C=C4)C(=O)N(C5=O)C4=CC=C(CC5=CC=C(*)C=C5)C=C4)C=C3)C=C2C1=O,0.242
*N1C(=O)C2=CC=C(OC3=CC=C(OC4=CC5=C(C=C4)C(=O)N(C5=O)C4=CC=CC(*)=C4)C=C3)C=C2C1=O,0.149
*N1C(=O)C2=CC3=C(C=C2C1=O)C(=O)N(C3=O)C1=CC=C(OC2=CC=C(*)C=C2)C=C1,0.825
*N1C(=O)C2C=C3C(=O)N(C(=O)C3=CC2C1=O)C1=CC(OC2=CC(*)=CC=C2)=CC=C1,0.13
*N1C(=O)C2C=CC(=CC2C1=O)C(=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=C(*)C=C1,0.86
*N1C(=O)C2C=CC(=CC2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=C(*)C=C1,1.19
*N1C(=O)C2C=CC(=CC2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(*)C=C1,0.5
*N1C(=O)C2C=CC(OC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC=C(C=C3)N(C3=CC=CC=C3)C3=CC=C(*)C=C3)=CC2C1=O,0.76
*NC(=O)C1=CC(=CC=C1)C(=O)NC1=CC=C(C=C1)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC=C(*)C=C1,1.2
*NC(=O)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC=C(*)C=C1,3
*NC1=CC=C(C=C1)C(=O)C1=CC=C(NC(=O)C2=CC=CC(=C2)C(*)=O)C=C1,0.069
*NC1=CC=C(C=C1)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC=C(NC(=O)CN2C(=O)C3=CC=C(C=C3C2=O)C(*)=O)C=C1,0.347
*NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(NC(=O)C2=CC(=CC(=C2)C2=CC=CC=C2)C(*)=O)C=C1,0.75
*NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(NC(=O)C2=CC(=CC=C2)C(*)=O)C=C1,0.19
*NC1=CC=C(CC2=CC=C(NC(=O)CN3C(=O)C4=CC=C(C=C4C3=O)C(*)=O)C=C2)C=C1,0.065
*NC1=CC=C(OC2=CC=C(OC3=CC=C(NC(=O)CN4C(=O)C5=CC=C(C=C5C4=O)C(*)=O)C=C3)C=C2)C=C1,0.185
*OC(=O)OC1=CC=C(C=C1)C1(CC2CCC1C2)C1=CC=C(*)C=C1,2.4
*OC(=O)OC1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(*)C=C1,0.6
*OC1=C2C=CC=C(OC3=CC=C(C=C3)S(=O)(=O)C3=CC=C(*)C=C3)C2=CC=C1,0.42
*OC1=CC=C(C(=O)C2=CC=C(OC3=CC=C(C=C3)C3(C4C=CC=CC4C4C=CC=CC34)C3=CC=C(*)C=C3)C=C2)C2=C1C=CC=C2,1.42
*OC1=CC=C(C=C1)C(=O)C1=CC(=CC=C1)C1=CC(=CC=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)C2(C3C=CC=CC3C3C=CC=CC23)C2=CC=C(*)C=C2)C=C1,0.53
*OC1=CC=C(C=C1)C1(C2=C(C=CC=C2)C2=C1C=CC=C2)C1=CC=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C=C1,3.92
*OC1=CC=C(C=C1)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,2.76
*OC1=CC=C(C=C1)C1(C2CC3CC(C2)CC1C3)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.86
*OC1=CC=C(C=C1)C1(NC(=O)C2C=CC=CC12)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,0.663
*OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C=C1,2.05
*OC1=CC=C(C=C1)C1(OC(=O)C2C=CC=CC12)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,0.634
*OC1=CC=C(C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.3
*OC1=CC=C(C=C1)C1=NN(C(=O)C2C=CC=CC12)C1=CC=C(C=C1)C(=O)C1=CC=C(*)C=C1,0.75
*OC1=CC=C(C=C1)C1=NN(C2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C(=O)C2=C1C=CC=C2,0.15
*OC1=CC=C(C=C1)C12CC3CC(C1)CC(C3)(C2)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,2.55
*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC=C(C=C2)C2(C3=C(C=CC=C3)C3=C2C=CC=C3)C2=CC=C(*)C=C2)C=C1,2.76
*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC=C(C=C2)C2=CC=C(*)C=C2)C=C1,1.3
*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,1.1
*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC=CC3=C(*)C=CC=C23)C=C1,0.42
*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC3=CC(*)=CC=C3C=C2)C=C1,0.5
*OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC2=CC3=CC=C(*)C=C3C=C2)C=C1,0.38
*OC1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,0.259
*OC1=CC=C(OC2=CC=C(OC3=CC=C(C=C3)S(=O)(=O)C3=CC=C(*)C=C3)C=C2)C=C1,1.1
*OC1=CC=C(OC2=CC3=C(C=C2)C(=O)N2C4=C(C=C(OC5=CC6=C(C=C5)N=C5N6C(=O)C6=C5C=CC(*)=C6)C=C4)N=C32)C=C1,0.23
*OC1=CC2=C(C=C1)C(=O)N1C3=C(C=C(OC4=CC5=C(C=C4)N=C4N5C(=O)C5=C4C=CC(*)=C5)C=C3)N=C21,0.22
*OC1=CC2=C(C=C1)N=C(C1=CC=CC=C1)C(=N2)C1=CC=C(C=C1)C1=NC2=C(C=CC(*)=C2)N=C1C1=CC=CC=C1,1.97
BrC1=C(C=CC(*)=C1)C1=NC2=C(N1)C=CC(=C2)C1=CC2=C(NC(*)=N2)C=C1,0.006
BrC1=CC(*)=CC=C1CC1=C(Br)C=C(C=C1)N1C(=O)C2=CC=C(C=C2C1=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O,0.0923
BrC1=CC(=CC(Br)=C1O*)C1(C2C=CC=CC2C2C=CC=CC12)C1=CC(Br)=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C(Br)=C1,4.83
BrC1=CC(=CC(Br)=C1O*)C1(OC(=O)C2=C1C=CC=C2)C1=CC(Br)=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C(Br)=C1,1.96
BrC1=CC(C*)=CC=C1C*,0.0241
BrC1=CC(C2=NC3=C(N2)C=CC(=C3)C2=CC3=C(NC(*)=N3)C=C2)=C(Br)C=C1*,0.07
BrC1=CC=C(C=C1)C(*)C*,1.9
BrC1=CC=C(OP(*)(OC2=CC=C(Br)C=C2)=N*)C=C1,0.91
C[Si](C)(*)C=C[Si](C)(C)O*,42.3
C[Si](C)(*)C1=CC(=CC=C1)[Si](C)(C)*,75.6
C[Si](C)(*)C1=CC=C(C=C1)[Si](C)(C)*,14.1
C[Si](C)(*)C1=CC=C(C=C1)[Si](C)(C)CC*,1.11
C[Si](C)(*)C1=CC=C(C=C1)[Si](C)(C)O*,11
C[Si](C)(*)C1=CC=CC(=C1)[Si](C)(C)O*,74
C[Si](C)(*)CC[Si](C)(C)O*,394
C[Si](C)(*)CCC*,9.5
C[Si](C)(*)CCCCCC[Si](C)(C)*,182
C[Si](C)(*)CCCCCC[Si](C)(C)O*,265
C[Si](C)(*)CCCCCCCC[Si](C)(C)*,188
C[Si](C)(*)CCCCCCCC[Si](C)(C)O*,237
C[Si](C)(C(*)C*)C1=CC=CC=C1,2.47
C[Si](C)(C)C(*)C*,44
C[Si](C)(C)C(C1=CC=C(C=C1)C(*)C*)[Si](C)(C)C,37.7
C[Si](C)(C)C[Si](C)(C)C1CC(*)CC1\C=C\*,16
C[Si](C)(C)C1=CC(=CC=C1)C(*)=C(*)C1=CC=CC=C1,1200
C[Si](C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC=C2CCCC2=C1,450
C[Si](C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2,460
C[Si](C)(C)C1=CC=C(C=C1)C(*)=C(*)C1=CC2=C(C=C1)C1=C(C2)C=CC=C1,1650
C[Si](C)(C)C1=CC=C(C=C1)C(*)C*,56
C[Si](C)(C)C1=CC=C(C=C1)C1=CC=C(C=C1)C(*)=C(*)C1=CC=CC=C1,390
C[Si](C)(C)C1=CC=C(OP(*)(OC2=CC=CC=C2)=NP(OC2=CC=C(Br)C=C2)(OC2=CC=C(C=C2)[Si](C)(C)C)=N*)C=C1,30.7
C[Si](C)(C)C1CC(*)CC1\C=C\*,30
C[Si](C)(C)CC1=CC=C(C=C1)C(*)=C(*)C1=CC=CC=C1,140
C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C1C2C(C1[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C(C*)CC2C*,220
C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C1C2C(C1[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C(CC2C=*)C=*,295
C[Si](C)(C1=CC=C2C(=O)N(*)C(=O)C2=C1)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(*)C=C1,0.6
C[Si](C)(C1=CC=C2C(=O)N(*)C(=O)C2=C1)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)C1=CC=C(*)C=C1,0.677
C[Si](C)(C1=CC=CC=C1)C1=CC=C(OP(*)(OC2=CC=CC=C2)=NP(OC2=CC=C(Br)C=C2)(OC2=CC=C(C=C2)[Si](C)(C)C2=CC=CC=C2)=N*)C=C1,7.8
C[Si](C)(C1=CC2=C(C=C1)C(=O)N(*)C2=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(OC2=CC=C(*)C=C2)C=C1,0.764
C[Si](C)(CCCC(F)(F)F)C1=CC=C(C=C1)C(*)C*,38.1
C[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(OP(*)(OC2=CC=CC=C2)=NP(OC2=CC=C(Br)C=C2)(OC2=CC=C(C=C2)[Si](C)(C2=CC=CC=C2)C2=CC=CC=C2)=N*)C=C1,1.3
C\C(*)=C(/*)[Si](C)(C)C1=CC=CC=C1,4.4
C\C(*)=C(/*)C1=CC=C(C=C1)[Si](C)(C)C,240
C\C(C*)=C(\C)C*,2.1
